optIter	freq	dB(S(1,1))[0, ::]
51	7.84000000000000075E8	-1.15036292260374284E0
51	7.84999999999999964E8	-1.15647485059738120E0
51	7.85999999999999943E8	-1.16266130140186719E0
51	7.87000000000000011E8	-1.16892343154546485E0
51	7.87999999999999989E8	-1.17526242028074135E0
51	7.89000000000000057E8	-1.18167947012008567E0
51	7.90000000000000036E8	-1.18817580736342543E0
51	7.90999999999999925E8	-1.19475268268255830E0
51	7.91999999999999993E8	-1.20141137170740175E0
51	7.92999999999999972E8	-1.20815317556359503E0
51	7.94000000000000039E8	-1.21497942155033534E0
51	7.95000000000000018E8	-1.22189146371346502E0
51	7.95999999999999908E8	-1.22889068351224529E0
51	7.97000000000000064E8	-1.23597849049395103E0
51	7.97999999999999954E8	-1.24315632293999800E0
51	7.99000000000000021E8	-1.25042564855974714E0
51	8.00000000000000000E8	-1.25778796527194237E0
51	8.00999999999999979E8	-1.26524480186842148E0
51	8.01999999999999957E8	-1.27279771879324866E0
51	8.02999999999999936E8	-1.28044830894350281E0
51	8.04000000000000092E8	-1.28819819847851957E0
51	8.05000000000000071E8	-1.29604904758379691E0
51	8.05999999999999872E8	-1.30400255139193577E0
51	8.07000000000000028E8	-1.31206044082924844E0
51	8.08000000000000007E8	-1.32022448348686594E0
51	8.08999999999999986E8	-1.32849648457906921E0
51	8.09999999999999964E8	-1.33687828789495544E0
51	8.10999999999999943E8	-1.34537177674149211E0
51	8.12000000000000099E8	-1.35397887499407532E0
51	8.12999999999999901E8	-1.36270154811091571E0
51	8.14000000000000057E8	-1.37154180421118022E0
51	8.15000000000000036E8	-1.38050169515539189E0
51	8.16000000000000014E8	-1.38958331769313670E0
51	8.16999999999999993E8	-1.39878881461842464E0
51	8.17999999999999972E8	-1.40812037602959972E0
51	8.19000000000000128E8	-1.41758024044058351E0
51	8.19999999999999929E8	-1.42717069616626535E0
51	8.20999999999999908E8	-1.43689408260919871E0
51	8.22000000000000064E8	-1.44675279156282888E0
51	8.23000000000000043E8	-1.45674926867944343E0
51	8.24000000000000021E8	-1.46688601485821102E0
51	8.25000000000000000E8	-1.47716558774916651E0
51	8.25999999999999979E8	-1.48759060323253500E0
51	8.26999999999999957E8	-1.49816373706600015E0
51	8.27999999999999936E8	-1.50888772644339753E0
51	8.29000000000000092E8	-1.51976537174172099E0
51	8.30000000000000071E8	-1.53079953813369896E0
51	8.30999999999999872E8	-1.54199315747618604E0
51	8.32000000000000028E8	-1.55334923008740078E0
51	8.33000000000000007E8	-1.56487082670398592E0
51	8.33999999999999986E8	-1.57656109030528424E0
51	8.34999999999999964E8	-1.58842323828839005E0
51	8.35999999999999943E8	-1.60046056443632079E0
51	8.37000000000000099E8	-1.61267644115444586E0
51	8.37999999999999901E8	-1.62507432159432619E0
51	8.39000000000000057E8	-1.63765774203410763E0
51	8.40000000000000036E8	-1.65043032418124347E0
51	8.41000000000000014E8	-1.66339577766260427E0
51	8.41999999999999993E8	-1.67655790249873204E0
51	8.42999999999999972E8	-1.68992059174494136E0
51	8.44000000000000128E8	-1.70348783422427541E0
51	8.44999999999999929E8	-1.71726371719562487E0
51	8.45999999999999908E8	-1.73125242936425372E0
51	8.47000000000000064E8	-1.74545826375161894E0
51	8.48000000000000043E8	-1.75988562082535127E0
51	8.49000000000000021E8	-1.77453901166440042E0
51	8.50000000000000000E8	-1.78942306125229433E0
51	8.50999999999999979E8	-1.80454251186895442E0
51	8.51999999999999957E8	-1.81990222659170109E0
51	8.52999999999999936E8	-1.83550719295694242E0
51	8.54000000000000092E8	-1.85136252671306289E0
