time	Tran1.TRAN.VRL
2.18913342782995102E-8	1.05782443018441952E1
2.19538342782995111E-8	1.10994003765022731E1
2.20163342782995164E-8	1.11210061523413772E1
2.20788342782995128E-8	1.06419007439643765E1
2.21413342782995182E-8	9.73734390420206175E0
2.22038342782995146E-8	8.55030342710701596E0
2.22663342782995199E-8	7.26915744320424029E0
2.23288342782995208E-8	6.09229787787085098E0
2.23913342782995262E-8	5.19739472541468217E0
2.24538342782995226E-8	4.71304189356786374E0
2.25163342782995191E-8	4.69926434247717051E0
2.25788342782995288E-8	5.15372652131110165E0
2.26413342782995297E-8	6.02123598342730215E0
2.27038342782995262E-8	7.18439109661428699E0
2.27663342782995270E-8	8.46765672227572530E0
2.28288342782995324E-8	9.67242915368932721E0
2.28913342782995333E-8	1.06108210975759465E1
2.29538342782995342E-8	1.11322497282162258E1
2.30163342782995350E-8	1.11538605693422799E1
2.30788342782995404E-8	1.06744863663171485E1
2.31413342782995413E-8	9.76943040468161961E0
2.32038342782995421E-8	8.58173608935689991E0
2.32663342782995430E-8	7.29985854615302721E0
2.33288342782995439E-8	6.12227712011490510E0
2.33913342782995493E-8	5.22672584195903234E0
2.34538342782995457E-8	4.74187916044073621E0
2.35163342782995510E-8	4.72785744748197079E0
2.35788342782995564E-8	5.18235617953872207E0
2.36413342782995484E-8	6.05010831473363719E0
2.37038342782995493E-8	7.21353422550779566E0
2.37663342782995546E-8	8.49697208692771433E0
2.38288342782995599E-8	9.70178390353124342E0
2.38913342782995564E-8	1.06400066385998260E1
2.39538342782995572E-8	1.11610481490258984E1
2.40163342782995626E-8	1.11821397700207248E1
2.40788342782995635E-8	1.07021448373616868E1
2.41413342782995599E-8	9.79643387107799413E0
2.42038342782995652E-8	8.60813552313529051E0
2.42663342782995661E-8	7.32568747651673124E0
2.43288342782995670E-8	6.14757753391748807E0
2.43913342782995723E-8	5.25158045232419912E0
2.44538342782995732E-8	4.76642930260776598E0
2.45163342782995652E-8	4.75243883124554944E0
2.45788342782995706E-8	5.20739086813360785E0
2.46413342782995759E-8	6.07572801038198573E0
2.47038342782995812E-8	7.23951007063962138E0
2.47663342782995777E-8	8.52297666347430649E0
2.48288342782995741E-8	9.72750142061021883E0
2.48913342782995795E-8	1.06651151475466777E1
2.49538342782995848E-8	1.11853411265500569E1
2.50163342782995857E-8	1.12055707254452463E1
2.50788342782995821E-8	1.07247260133605682E1
2.51413342782995741E-8	9.81827022400613814E0
2.52038342782995928E-8	8.62941187453574798E0
2.52663342782995848E-8	7.34651323866347283E0
2.53288342782995812E-8	6.16801682590039313E0
2.53913342782995954E-8	5.27171975270962800E0
2.54538342782995919E-8	4.78640898193873099E0
2.55163342782995883E-8	4.77265717803676459E0
2.55788342782995937E-8	5.22837112845367802E0
2.56413342782995946E-8	6.09755300101242970E0
2.57038342782995954E-8	7.26176919488337980E0
2.57663342782996008E-8	8.54519208031087274E0
2.58288342782995972E-8	9.74923437773016133E0
2.58913342782995981E-8	1.06859650893759328E1
2.59538342782996034E-8	1.12051227195579473E1
2.60163342782996088E-8	1.12242960680196679E1
2.60788342782996052E-8	1.07424815381986205E1
2.61413342782996061E-8	9.83526078802217540E0
2.62038342782996114E-8	8.64590118531923224E0
