freq	stab_fact(S)
4.79999999999999982E8	1.00090772472324896E0
4.81000000000000050E8	1.00091631439429918E0
4.82000000000000028E8	1.00092475253778335E0
4.83000000000000007E8	1.00093304022902951E0
4.83999999999999986E8	1.00094117853243780E0
4.84999999999999964E8	1.00094916850135984E0
4.86000000000000032E8	1.00095701117941838E0
4.87000000000000011E8	1.00096470759911260E0
4.87999999999999989E8	1.00097225878480378E0
4.88999999999999968E8	1.00097966574809427E0
4.90000000000000036E8	1.00098692949096080E0
4.91000000000000014E8	1.00099405100810790E0
4.91999999999999993E8	1.00100103128238072E0
4.92999999999999972E8	1.00100787128783386E0
4.93999999999999950E8	1.00101457198828259E0
4.95000000000000018E8	1.00102113433890327E0
4.95999999999999996E8	1.00102755928517673E0
4.97000000000000064E8	1.00103384776497939E0
4.97999999999999954E8	1.00104000070511234E0
4.99000000000000021E8	1.00104601902405754E0
5.00000000000000000E8	1.00105190363150576E0
5.00999999999999979E8	1.00105765542931757E0
5.02000000000000046E8	1.00106327531077310E0
5.02999999999999936E8	1.00106876415840595E0
5.04000000000000004E8	1.00107412284886532E0
5.04999999999999982E8	1.00107935224916900E0
5.06000000000000050E8	1.00108445321973227E0
5.07000000000000028E8	1.00108942661002320E0
5.08000000000000007E8	1.00109427326357214E0
5.08999999999999986E8	1.00109899401659286E0
5.09999999999999964E8	1.00110358969515234E0
5.11000000000000032E8	1.00110806111971651E0
5.12000000000000011E8	1.00111240910185240E0
5.12999999999999989E8	1.00111663444598631E0
5.13999999999999968E8	1.00112073794925283E0
5.15000000000000036E8	1.00112472040149902E0
5.16000000000000014E8	1.00112858258412607E0
5.16999999999999993E8	1.00113232527208318E0
5.17999999999999972E8	1.00113594923488014E0
5.18999999999999950E8	1.00113945523106285E0
5.20000000000000018E8	1.00114284401660414E0
5.20999999999999996E8	1.00114611633708206E0
5.22000000000000064E8	1.00114927293284794E0
5.22999999999999954E8	1.00115231453793019E0
5.24000000000000021E8	1.00115524187882321E0
5.25000000000000000E8	1.00115805567487426E0
5.25999999999999979E8	1.00116075664102100E0
5.27000000000000046E8	1.00116334548395569E0
5.27999999999999936E8	1.00116582290404055E0
5.29000000000000004E8	1.00116818959542520E0
5.29999999999999982E8	1.00117044624843254E0
5.31000000000000050E8	1.00117259354287680E0
5.32000000000000028E8	1.00117463215650004E0
5.33000000000000007E8	1.00117656275825273E0
5.33999999999999986E8	1.00117838601237774E0
5.34999999999999964E8	1.00118010257710099E0
5.36000000000000032E8	1.00118171310527604E0
5.37000000000000011E8	1.00118321824291501E0
5.37999999999999989E8	1.00118461863150587E0
5.38999999999999968E8	1.00118591490540854E0
5.40000000000000036E8	1.00118710769563268E0
5.41000000000000014E8	1.00118819762495814E0
5.41999999999999993E8	1.00118918531322798E0
5.42999999999999972E8	1.00119007137246330E0
5.43999999999999950E8	1.00119085641179861E0
5.45000000000000018E8	1.00119154103332964E0
5.45999999999999996E8	1.00119212583538220E0
5.47000000000000064E8	1.00119261140935745E0
5.47999999999999954E8	1.00119299834350639E0
