freq	stab_fact(S)
1.44999999999999996E8	9.58443501593677816E-1
1.45999999999999996E8	9.57418587202644389E-1
1.46999999999999997E8	9.56453834607119902E-1
1.47999999999999998E8	9.55546682151869931E-1
1.48999999999999999E8	9.54694680845762456E-1
1.50000000000000000E8	9.53895488933621394E-1
1.51000000000000001E8	9.53146866752427968E-1
1.52000000000000002E8	9.52446671871842909E-1
1.53000000000000003E8	9.51792854477958805E-1
1.54000000000000004E8	9.51183453013971558E-1
1.55000000000000004E8	9.50616590032824682E-1
1.56000000000000005E8	9.50090468283480760E-1
1.56999999999999984E8	9.49603366978689500E-1
1.58000000000000007E8	9.49153638272031053E-1
1.59000000000000008E8	9.48739703902008280E-1
1.60000000000000009E8	9.48360052017222799E-1
1.61000000000000010E8	9.48013234147469852E-1
1.61999999999999988E8	9.47697862344959319E-1
1.63000000000000012E8	9.47412606446530425E-1
1.63999999999999990E8	9.47156191496691235E-1
1.64999999999999991E8	9.46927395270038019E-1
1.66000000000000014E8	9.46725045937673215E-1
1.66999999999999993E8	9.46548019840351174E-1
1.68000000000000016E8	9.46395239361856255E-1
1.68999999999999995E8	9.46265670912950796E-1
1.69999999999999996E8	9.46158323018374148E-1
1.71000000000000019E8	9.46072244476870239E-1
1.71999999999999997E8	9.46006522625968138E-1
1.72999999999999998E8	9.45960281679659687E-1
1.73999999999999977E8	9.45932681148011056E-1
1.75000000000000000E8	9.45922914329138642E-1
1.76000000000000023E8	9.45930206870155210E-1
1.77000000000000002E8	9.45953815400575415E-1
1.78000000000000003E8	9.45993026219586675E-1
1.78999999999999981E8	9.46047154054051198E-1
1.80000000000000004E8	9.46115540864144577E-1
1.81000000000000005E8	9.46197554709885935E-1
1.81999999999999984E8	9.46292588663030010E-1
1.83000000000000007E8	9.46400059775160329E-1
1.83999999999999986E8	9.46519408085452341E-1
1.85000000000000009E8	9.46650095677570924E-1
1.86000000000000010E8	9.46791605776491529E-1
1.86999999999999988E8	9.46943441882502945E-1
1.88000000000000012E8	9.47105126949817944E-1
1.88999999999999990E8	9.47276202594857786E-1
1.89999999999999991E8	9.47456228348233509E-1
1.91000000000000014E8	9.47644780922706076E-1
1.91999999999999993E8	9.47841453533841971E-1
1.93000000000000016E8	9.48045855230630075E-1
1.93999999999999995E8	9.48257610271778795E-1
1.94999999999999996E8	9.48476357515422208E-1
1.96000000000000019E8	9.48701749841110065E-1
1.96999999999999997E8	9.48933453597746812E-1
1.97999999999999998E8	9.49171148069295434E-1
1.98999999999999977E8	9.49414524968446294E-1
2.00000000000000000E8	9.49663287949842605E-1
2.01000000000000023E8	9.49917152140932153E-1
2.02000000000000002E8	9.50175843698446165E-1
2.03000000000000025E8	9.50439099374616170E-1
2.04000000000000004E8	9.50706666111990373E-1
2.04999999999999982E8	9.50978300644497487E-1
2.06000000000000005E8	9.51253769122759962E-1
2.06999999999999984E8	9.51532846751247341E-1
2.08000000000000007E8	9.51815317438416564E-1
2.08999999999999986E8	9.52100973468279399E-1
2.10000000000000009E8	9.52389615173580140E-1
2.11000000000000032E8	9.52681050637790960E-1
2.12000000000000011E8	9.52975095390682725E-1
2.12999999999999989E8	9.53271572133149192E-1
2.13999999999999968E8	9.53570310462326454E-1
2.14999999999999991E8	9.53871146612136123E-1
2.16000000000000014E8	9.54173923202141516E-1
2.16999999999999993E8	9.54478488997717278E-1
2.18000000000000016E8	9.54784698679783617E-1
2.18999999999999995E8	9.55092412622985698E-1
2.20000000000000018E8	9.55401496679858830E-1
2.20999999999999996E8	9.55711821982155563E-1
2.21999999999999975E8	9.56023264736693612E-1
2.22999999999999998E8	9.56335706042627365E-1
2.23999999999999977E8	9.56649031706588815E-1
2.25000000000000000E8	9.56963132068886324E-1
2.26000000000000023E8	9.57277901832866362E-1
2.27000000000000002E8	9.57593239911225069E-1
2.28000000000000025E8	9.57909049259696843E-1
2.29000000000000004E8	9.58225236735707320E-1
2.29999999999999982E8	9.58541712953718417E-1
2.31000000000000005E8	9.58858392144391836E-1
2.31999999999999984E8	9.59175192022561340E-1
2.33000000000000007E8	9.59492033660851718E-1
2.33999999999999986E8	9.59808841366491095E-1
2.35000000000000009E8	9.60125542558828116E-1
2.36000000000000032E8	9.60442067662967247E-1
2.37000000000000011E8	9.60758349990773297E-1
2.37999999999999989E8	9.61074325645052596E-1
2.38999999999999968E8	9.61389933407754604E-1
2.39999999999999991E8	9.61705114653302928E-1
2.41000000000000014E8	9.62019813241836985E-1
2.41999999999999993E8	9.62333975440881240E-1
2.43000000000000016E8	9.62647549827967275E-1
2.43999999999999995E8	9.62960487212052385E-1
2.45000000000000018E8	9.63272740552227269E-1
2.45999999999999996E8	9.63584264876208607E-1
2.46999999999999975E8	9.63895017208142058E-1
2.47999999999999998E8	9.64204956494765142E-1
2.48999999999999977E8	9.64514043537933397E-1
2.50000000000000000E8	9.64822240922846142E-1
2.51000000000000023E8	9.65129512955692448E-1
2.52000000000000002E8	9.65435825603673692E-1
2.53000000000000025E8	9.65741146431644104E-1
2.54000000000000004E8	9.66045444542539045E-1
2.54999999999999982E8	9.66348690526615783E-1
2.56000000000000005E8	9.66650856401877157E-1
2.56999999999999984E8	9.66951915565948994E-1
2.58000000000000007E8	9.67251842745647927E-1
2.58999999999999986E8	9.67550613944878179E-1
2.60000000000000009E8	9.67848206403088795E-1
2.61000000000000032E8	9.68144598548204627E-1
2.62000000000000011E8	9.68439769950719764E-1
2.62999999999999989E8	9.68733701288064886E-1
2.63999999999999968E8	9.69026374295999204E-1
2.64999999999999991E8	9.69317771737725309E-1
2.66000000000000014E8	9.69607877361239190E-1
2.66999999999999993E8	9.69896675864902491E-1
2.68000000000000016E8	9.70184152861155980E-1
2.68999999999999995E8	9.70470294848683679E-1
2.70000000000000018E8	9.70755089169627183E-1
2.70999999999999996E8	9.71038523987100710E-1
2.71999999999999975E8	9.71320588252467765E-1
2.72999999999999998E8	9.71601271672156130E-1
2.73999999999999977E8	9.71880564684720483E-1
2.75000000000000000E8	9.72158458434022066E-1
2.76000000000000023E8	9.72434944734566464E-1
2.77000000000000002E8	9.72710016060520566E-1
2.78000000000000025E8	9.72983665506906092E-1
2.79000000000000004E8	9.73255886774157730E-1
2.79999999999999982E8	9.73526674143518811E-1
2.81000000000000005E8	9.73796022455340449E-1
2.81999999999999984E8	9.74063927088872816E-1
2.83000000000000007E8	9.74330383936382738E-1
2.83999999999999986E8	9.74595389392747258E-1
2.85000000000000009E8	9.74858940327649215E-1
2.86000000000000032E8	9.75121034070142656E-1
2.87000000000000011E8	9.75381668396480705E-1
2.87999999999999989E8	9.75640841501708778E-1
2.88999999999999968E8	9.75898551993584817E-1
2.89999999999999991E8	9.76154798871679574E-1
2.91000000000000014E8	9.76409581510491442E-1
2.91999999999999993E8	9.76662899650681382E-1
2.93000000000000016E8	9.76914753376631850E-1
2.93999999999999995E8	9.77165143107641931E-1
2.95000000000000018E8	9.77414069586483514E-1
2.95999999999999996E8	9.77661533860730891E-1
