time	Tran1.TRAN.I_DC.i
1.71413342782994049E-8	4.01441800462580023E-2
1.72038342782994080E-8	3.63718375188747656E-2
1.72663342782994111E-8	3.73790118009361105E-2
1.73288342782994120E-8	4.31149629620754293E-2
1.73913342782994174E-8	5.28087321285253353E-2
1.74538342782994116E-8	6.51045244816703228E-2
1.75163342782994125E-8	7.82865569874531531E-2
1.75788342782994156E-8	9.05298398317570729E-2
1.76413342782994143E-8	1.00133421900666431E-1
1.77038342782994151E-8	1.05752019987049151E-1
1.77663342782994205E-8	1.06618421512893247E-1
1.78288342782994214E-8	1.02687712827888289E-1
1.78913342782994267E-8	9.46581915914172356E-2
1.79538342782994187E-8	8.38730998948619444E-2
1.80163342782994285E-8	7.21132422211899105E-2
1.80788342782994271E-8	6.13121625122071912E-2
1.81413342782994258E-8	5.32514987219051328E-2
1.82038342782994267E-8	4.92819874752315457E-2
1.82663342782994276E-8	5.01107377577934265E-2
1.83288342782994329E-8	5.56971788582948157E-2
1.83913342782994338E-8	6.52738798295506406E-2
1.84538342782994347E-8	7.74841589407003717E-2
1.85163342782994356E-8	9.06080594483750446E-2
1.85788342782994320E-8	1.02814941797174741E-1
1.86413342782994373E-8	1.12395734776737166E-1
1.87038342782994427E-8	1.17991365068081366E-1
1.87663342782994369E-8	1.18818980706553079E-1
1.88288342782994422E-8	1.14822395543392486E-1
1.88913342782994453E-8	1.06693326276858391E-1
1.89538342782994440E-8	9.57739188145314735E-2
1.90163342782994471E-8	8.38507764208452500E-2
1.90788342782994502E-8	7.28668281736280221E-2
1.91413342782994511E-8	6.46143702596818237E-2
1.92038342782994542E-8	6.04556144726667188E-2
1.92663342782994507E-8	6.11067586989718503E-2
1.93288342782994538E-8	6.65322015590613436E-2
1.93913342782994547E-8	7.59663155381157118E-2
1.94538342782994556E-8	8.80512127375067166E-2
1.95163342782994609E-8	1.01064428351256441E-1
1.95788342782994595E-8	1.13173472510720052E-1
1.96413342782994560E-8	1.22665310401219285E-1
1.97038342782994591E-8	1.28172455408122987E-1
1.97663342782994622E-8	1.28902744736440567E-1
1.98288342782994675E-8	1.24793161892324833E-1
1.98913342782994729E-8	1.16531283155463794E-1
1.99538342782994671E-8	1.05458969316732554E-1
2.00163342782994702E-8	9.33666164677580390E-2
2.00788342782994711E-8	8.22026816252483350E-2
2.01413342782994720E-8	7.37659124586938386E-2
2.02038342782994729E-8	6.94253041983820651E-2
2.02663342782994693E-8	6.99019363250466430E-2
2.03288342782994791E-8	7.51627811982469307E-2
2.03913342782994800E-8	8.44429752030653624E-2
2.04538342782994809E-8	9.63834825042740206E-2
2.05163342782994773E-8	1.09260560173274701E-1
2.05788342782994826E-8	1.21241313135643658E-1
2.06413342782994791E-8	1.30610662582205306E-1
2.07038342782994844E-8	1.35996241535775364E-1
2.07663342782994853E-8	1.36600436252845259E-1
2.08288342782994862E-8	1.32356093549826959E-1
2.08913342782994871E-8	1.23948472689973577E-1
2.09538342782994924E-8	1.12719529437149335E-1
2.10163342782994933E-8	1.00461968891589470E-1
2.10788342782994942E-8	8.91275850175454920E-2
2.11413342782994906E-8	8.05189306142330352E-2
2.12038342782995004E-8	7.60087711074017136E-2
2.12663342782994969E-8	7.63208361109011868E-2
2.13288342782995022E-8	8.14234023658895723E-2
2.13913342782995031E-8	9.05518006826792110E-2
2.14538342782994951E-8	1.02346180648012441E-1
2.15163342782995048E-8	1.15082045438537173E-1
2.15788342782995102E-8	1.26926269624794630E-1
2.16413342782995022E-8	1.36162597580358424E-1
2.17038342782995031E-8	1.41415951282781105E-1
2.17663342782995084E-8	1.41885758447334442E-1
2.18288342782995137E-8	1.37502698084107955E-1
2.18913342782995102E-8	1.28951005544529762E-1
2.19538342782995111E-8	1.17572960509414859E-1
2.20163342782995164E-8	1.05162710643135227E-1
2.20788342782995128E-8	9.36740213160234347E-2
2.21413342782995182E-8	8.49115291705968644E-2
2.22038342782995146E-8	8.02499194040853503E-2
2.22663342782995199E-8	8.04142565605501325E-2
2.23288342782995208E-8	8.53733817479326262E-2
2.23913342782995262E-8	9.43625728103925177E-2
2.24538342782995226E-8	1.06021426289996468E-1
2.25163342782995191E-8	1.18624758425008126E-1
2.25788342782995288E-8	1.30338881378776583E-1
2.26413342782995297E-8	1.39446627843089965E-1
2.27038342782995262E-8	1.44571553645951267E-1
2.27663342782995270E-8	1.44911909316522558E-1
2.28288342782995324E-8	1.40397706883543893E-1
2.28913342782995333E-8	1.31713103880177673E-1
2.29538342782995342E-8	1.20200956883594778E-1
2.30163342782995350E-8	1.07656377395068015E-1
2.30788342782995404E-8	9.60341874057322542E-2
2.31413342782995413E-8	8.71400052054091034E-2
2.32038342782995421E-8	8.23492629106665852E-2
2.32663342782995430E-8	8.23874725263460306E-2
2.33288342782995439E-8	8.72236008265810270E-2
2.33913342782995493E-8	9.60927555611385031E-2
2.34538342782995457E-8	1.07634081528611913E-1
2.35163342782995510E-8	1.20121601025769476E-1
2.35788342782995564E-8	1.31720587470850226E-1
2.36413342782995484E-8	1.40712922236286486E-1
2.37038342782995493E-8	1.45721704821294318E-1
2.37663342782995546E-8	1.45945324879388250E-1
2.38288342782995599E-8	1.41314247274405380E-1
2.38913342782995564E-8	1.32513295969566647E-1
2.39538342782995572E-8	1.20886158351952155E-1
2.40163342782995626E-8	1.08228625560167235E-1
2.40788342782995635E-8	9.64959705503065024E-2
2.41413342782995599E-8	8.74940706808175328E-2
2.42038342782995652E-8	8.25983190635130704E-2
2.42663342782995661E-8	8.25340565146870198E-2
2.43288342782995670E-8	8.72700965493108249E-2
2.43913342782995723E-8	9.60412980668666982E-2
2.44538342782995732E-8	1.07486363785531913E-1
2.45163342782995652E-8	1.19878381400834377E-1
2.45788342782995706E-8	1.31381144262597660E-1
2.46413342782995759E-8	1.40275455125588921E-1
2.47038342782995812E-8	1.45184607238011232E-1
2.47663342782995777E-8	1.45308079218503750E-1
2.48288342782995741E-8	1.40577591939637703E-1
2.48913342782995795E-8	1.31679211763117099E-1
2.49538342782995848E-8	1.19957652402577719E-1
2.50163342782995857E-8	1.07209191546396676E-1
2.50788342782995821E-8	9.53891607842790457E-2
2.51413342782995741E-8	8.63032005222660814E-2
2.52038342782995928E-8	8.13261308009071193E-2
2.52663342782995848E-8	8.11827120140161540E-2
2.53288342782995812E-8	8.58414140838938700E-2
2.53913342782995954E-8	9.45367978616724614E-2
2.54538342782995919E-8	1.05907119960614393E-1
2.55163342782995883E-8	1.18224414724702886E-1
2.55788342782995937E-8	1.29650677689665628E-1
2.56413342782995946E-8	1.38465533439385213E-1
2.57038342782995954E-8	1.43292921586043276E-1
2.57663342782996008E-8	1.43334059352142607E-1
2.58288342782995972E-8	1.38522457071097715E-1
2.58913342782995981E-8	1.29545815604864023E-1
2.59538342782996034E-8	1.17749984961751064E-1
2.60163342782996088E-8	1.04931571443351346E-1
2.60788342782996052E-8	9.30457043111814031E-2
2.61413342782996061E-8	8.38974460759215113E-2
2.62038342782996114E-8	7.88606944008678035E-2
2.62663342782996123E-8	7.86593895559236778E-2
