time	Tran2.TRAN.VCC
1.00283000000001810E-6	8.00000000000000000E0
1.00284000000001838E-6	8.00000000000000000E0
1.00285000000001845E-6	8.00000000000000000E0
1.00286000000001851E-6	8.00000000000000000E0
1.00287000000001836E-6	8.00000000000000000E0
1.00288000000001842E-6	8.00000000000000000E0
1.00289000000001849E-6	8.00000000000000000E0
1.00290000000001855E-6	8.00000000000000000E0
1.00291000000001862E-6	8.00000000000000000E0
1.00292000000001846E-6	8.00000000000000000E0
1.00293000000001920E-6	8.00000000000000000E0
1.00294000000001882E-6	8.00000000000000000E0
1.00295000000001888E-6	8.00000000000000000E0
1.00296000000001895E-6	8.00000000000000000E0
1.00297000000001901E-6	8.00000000000000000E0
1.00298000000001930E-6	8.00000000000000000E0
1.00299000000001914E-6	8.00000000000000000E0
1.00300000000001921E-6	8.00000000000000000E0
1.00301000000001950E-6	8.00000000000000000E0
1.00302000000001934E-6	8.00000000000000000E0
1.00303000000001941E-6	8.00000000000000000E0
1.00304000000001947E-6	8.00000000000000000E0
1.00305000000001932E-6	8.00000000000000000E0
1.00306000000001960E-6	8.00000000000000000E0
1.00307000000001967E-6	8.00000000000000000E0
1.00308000000001973E-6	8.00000000000000000E0
1.00309000000001980E-6	8.00000000000000000E0
1.00310000000001986E-6	8.00000000000000000E0
1.00311000000001993E-6	8.00000000000000000E0
1.00312000000002000E-6	8.00000000000000000E0
1.00313000000002006E-6	8.00000000000000000E0
1.00314000000002035E-6	8.00000000000000000E0
1.00315000000002041E-6	8.00000000000000000E0
1.00316000000002026E-6	8.00000000000000000E0
1.00317000000002032E-6	8.00000000000000000E0
1.00318000000002039E-6	8.00000000000000000E0
1.00319000000002045E-6	8.00000000000000000E0
1.00320000000002052E-6	8.00000000000000000E0
1.00321000000002036E-6	8.00000000000000000E0
1.00322000000002065E-6	8.00000000000000000E0
1.00323000000002072E-6	8.00000000000000000E0
1.00324000000002056E-6	8.00000000000000000E0
1.00325000000002107E-6	8.00000000000000000E0
1.00326000000002113E-6	8.00000000000000000E0
1.00327000000002098E-6	8.00000000000000000E0
1.00328000000002104E-6	8.00000000000000000E0
1.00329000000002111E-6	8.00000000000000000E0
1.00330000000002117E-6	8.00000000000000000E0
1.00331000000002124E-6	8.00000000000000000E0
1.00332000000002131E-6	8.00000000000000000E0
1.00333000000002137E-6	8.00000000000000000E0
1.00334000000002121E-6	8.00000000000000000E0
1.00335000000002150E-6	8.00000000000000000E0
1.00336000000002157E-6	8.00000000000000000E0
1.00337000000002163E-6	8.00000000000000000E0
1.00338000000002170E-6	8.00000000000000000E0
1.00339000000002176E-6	8.00000000000000000E0
1.00340000000002161E-6	8.00000000000000000E0
1.00341000000002190E-6	8.00000000000000000E0
1.00342000000002196E-6	8.00000000000000000E0
1.00343000000002203E-6	8.00000000000000000E0
1.00344000000002209E-6	8.00000000000000000E0
1.00345000000002216E-6	8.00000000000000000E0
1.00346000000002222E-6	8.00000000000000000E0
1.00347000000002229E-6	8.00000000000000000E0
1.00348000000002213E-6	8.00000000000000000E0
1.00349000000002242E-6	8.00000000000000000E0
1.00350000000002249E-6	8.00000000000000000E0
1.00351000000002255E-6	8.00000000000000000E0
1.00352000000002239E-6	8.00000000000000000E0
1.00353000000002268E-6	8.00000000000000000E0
1.00354000000002297E-6	8.00000000000000000E0
1.00355000000002281E-6	8.00000000000000000E0
1.00356000000002288E-6	8.00000000000000000E0
1.00357000000002294E-6	8.00000000000000000E0
1.00358000000002301E-6	8.00000000000000000E0
1.00359000000002307E-6	8.00000000000000000E0
1.00360000000002270E-6	8.00000000000000000E0
1.00361000000002321E-6	8.00000000000000000E0
1.00362000000002305E-6	8.00000000000000000E0
1.00363000000002334E-6	8.00000000000000000E0
1.00364000000002340E-6	8.00000000000000000E0
1.00365000000002347E-6	8.00000000000000000E0
1.00366000000002353E-6	8.00000000000000000E0
1.00367000000002338E-6	8.00000000000000000E0
1.00368000000002344E-6	8.00000000000000000E0
1.00369000000002373E-6	8.00000000000000000E0
1.00370000000002380E-6	8.00000000000000000E0
1.00371000000002386E-6	8.00000000000000000E0
1.00372000000002393E-6	8.00000000000000000E0
1.00373000000002377E-6	8.00000000000000000E0
1.00374000000002406E-6	8.00000000000000000E0
1.00375000000002390E-6	8.00000000000000000E0
1.00376000000002419E-6	8.00000000000000000E0
1.00377000000002403E-6	8.00000000000000000E0
1.00378000000002432E-6	8.00000000000000000E0
1.00379000000002438E-6	8.00000000000000000E0
1.00380000000002423E-6	8.00000000000000000E0
1.00381000000002452E-6	8.00000000000000000E0
1.00382000000002458E-6	8.00000000000000000E0
1.00383000000002465E-6	8.00000000000000000E0
1.00384000000002449E-6	8.00000000000000000E0
1.00385000000002478E-6	8.00000000000000000E0
1.00386000000002484E-6	8.00000000000000000E0
1.00387000000002469E-6	8.00000000000000000E0
1.00388000000002497E-6	8.00000000000000000E0
1.00389000000002504E-6	8.00000000000000000E0
1.00390000000002488E-6	8.00000000000000000E0
1.00391000000002517E-6	8.00000000000000000E0
1.00392000000002501E-6	8.00000000000000000E0
1.00393000000002530E-6	8.00000000000000000E0
1.00394000000002537E-6	8.00000000000000000E0
1.00395000000002543E-6	8.00000000000000000E0
1.00396000000002572E-6	8.00000000000000000E0
1.00397000000002556E-6	8.00000000000000000E0
1.00398000000002563E-6	8.00000000000000000E0
1.00399000000002547E-6	8.00000000000000000E0
1.00400000000000000E-6	8.00000000000000000E0


