time	Tran1.TRAN.I_RL.i
8.85456973066266251E-9	2.70798113785950045E-3
8.90169039424674402E-9	4.64936697482188599E-3
8.95923624825694276E-9	6.45196110974020609E-3
9.00393790131798255E-9	7.32108350801127017E-3
9.05411893446408911E-9	7.68015641504191127E-3
9.10321592633517263E-9	7.36528503403004997E-3
9.16571592633516907E-9	5.98243701106485837E-3
9.22821592633517085E-9	3.44372524427167193E-3
9.29071592633516730E-9	-1.68602776785021158E-4
9.35321592633516730E-9	-4.29362635409927318E-3
9.41571592633517263E-9	-8.12367595306667845E-3
9.47821592633517085E-9	-1.10406162721152246E-2
9.54071592633516907E-9	-1.25250803658230625E-2
9.60321592633517263E-9	-1.21965816919700631E-2
9.66416688569720606E-9	-1.01474984313585770E-2
9.72666688569720606E-9	-6.55139697818638655E-3
9.75633332436599510E-9	-4.41118581723999803E-3
9.77663735249756272E-9	-2.84117278220072933E-3
9.81223952615705564E-9	-1.67284405300428540E-5
9.83394299706296060E-9	1.70586009576605391E-3
9.86946511428358875E-9	4.44363551107891830E-3
9.89829779057356518E-9	6.53479361040506568E-3
9.93460249697525910E-9	8.86298285847624001E-3
9.96684658665255441E-9	1.05463241650725204E-2
9.99376866669854280E-9	1.16368010911541986E-2
1.00278925852258327E-8	1.25924370456294721E-2
1.00504490576317762E-8	1.29485657634405893E-2
1.00916754596938940E-8	1.29792049238983109E-2
1.01179711028104213E-8	1.25803194396501916E-2
1.01667721789205068E-8	1.10642291388439662E-2
1.02001780214815829E-8	9.46749025510257525E-3
1.02545671465964494E-8	5.88093431260507860E-3
1.02908161062053116E-8	2.87640291619327737E-3
1.03507963150912552E-8	-2.60071393540173279E-3
1.04056014055815904E-8	-7.59672530337167373E-3
1.04681014055815891E-8	-1.25276283799622523E-2
1.05275852552333271E-8	-1.57674529168133581E-2
1.05900852552333258E-8	-1.70481679212365833E-2
1.06525852552333267E-8	-1.59671678451235799E-2
1.07150852552333276E-8	-1.26011667637518587E-2
1.07775852552333240E-8	-7.35872263820195993E-3
1.08400852552333249E-8	-1.04122437121298450E-3
1.09014197847553596E-8	5.32637255130140730E-3
1.09496537393427151E-8	9.90505952802554468E-3
1.09879891193323531E-8	1.29504069924529230E-2
1.10260162514069582E-8	1.52588139024756142E-2
1.10746179316903937E-8	1.70393134095053433E-2
1.11092170212097341E-8	1.74445932153560790E-2
1.11365401367954187E-8	1.72206129201362179E-2
1.11604653308603519E-8	1.66265897871292312E-2
1.11881659941801725E-8	1.54977114451036613E-2
1.12120489326079675E-8	1.41645891680646763E-2
1.12485431681055004E-8	1.15220482509157729E-2
1.12891075514745909E-8	7.82446389621914307E-3
1.13365854215712747E-8	2.79042123942478293E-3
1.13952369207360737E-8	-3.81476836875367376E-3
1.14577369207360746E-8	-1.04761748129470700E-2
1.15120551415575845E-8	-1.52373087471972668E-2
1.15745551415575854E-8	-1.87299949315382364E-2
1.16370551415575862E-8	-1.96365022671985656E-2
1.16995551415575849E-8	-1.78091484182099946E-2
1.17620551415575836E-8	-1.34492344992257795E-2
1.18245551415575822E-8	-7.19149425882445570E-3
1.18870551415575809E-8	3.52762033088105342E-5
1.19495551415575796E-8	7.20319915660707544E-3
1.20078600433401550E-8	1.29076383428951802E-2
1.20680277530559388E-8	1.69786446765161347E-2
1.21235213881238302E-8	1.86445444017599660E-2
1.21622101794495596E-8	1.84790142261299106E-2
1.22247101794495583E-8	1.58902316050403258E-2
1.22827561215298653E-8	1.12203138485707155E-2
1.23452561215298617E-8	4.44978306472643048E-3
1.24077561215298626E-8	-3.20000805040412928E-3
1.24702561215298613E-8	-1.06089151322714859E-2
1.25327561215298622E-8	-1.66929294475013990E-2
1.25952561215298631E-8	-2.05862409132497248E-2
1.26577561215298640E-8	-2.16959812235620886E-2
1.27202561215298604E-8	-1.98238677922165119E-2
1.27827561215298591E-8	-1.52430672862537708E-2
1.28452561215298644E-8	-8.61146835387019927E-3
1.29077561215298586E-8	-8.97869424826126306E-4
1.29702561215298573E-8	6.73061512469357748E-3
1.30327561215298582E-8	1.31333562986649977E-2
1.30952561215298591E-8	1.73506894027765624E-2
1.31548228473657280E-8	1.87218207221227351E-2
1.32118106041233974E-8	1.74071986196271888E-2
1.32743106041233982E-8	1.32183106747517987E-2
1.33368106041233969E-8	6.74745772790107967E-3
1.33993106041234000E-8	-1.05108058554203243E-3
1.34618106041233965E-8	-9.02198424060948057E-3
1.35243106041233996E-8	-1.60127809602479898E-2
1.35868106041233982E-8	-2.10034149898474309E-2
1.36493106041233969E-8	-2.32416143129311603E-2
1.37118106041233956E-8	-2.23835181242459225E-2
1.37743106041233987E-8	-1.85353657898126523E-2
1.38368106041233951E-8	-1.22462356841547004E-2
1.38993106041233960E-8	-4.45775982259018377E-3
1.39618106041233991E-8	3.65386316832434410E-3
1.40243106041233956E-8	1.08638926656310320E-2
1.40868106041233920E-8	1.60661186447707571E-2
1.41493106041233974E-8	1.84581124178726275E-2
1.42105327784565882E-8	1.77209080323510215E-2
1.42718776130656355E-8	1.40205218249012820E-2
1.43343776130656386E-8	7.76029805747474732E-3
1.43968776130656395E-8	-7.18915355783055077E-5
1.44593776130656382E-8	-8.31214139451236278E-3
1.45218776130656368E-8	-1.57496778577622232E-2
1.45843776130656377E-8	-2.12872803383653730E-2
1.46468776130656342E-8	-2.41009898183933569E-2
1.47093776130656329E-8	-2.37542389751180671E-2
1.47718776130656337E-8	-2.02686549353409307E-2
1.48343776130656391E-8	-1.41488071070095511E-2
1.48968776130656355E-8	-6.31116508942044696E-3
1.49593776130656386E-8	2.06045375971548328E-3
1.50218776130656373E-8	9.68714536651457436E-3
1.50843776130656382E-8	1.53971410225433014E-2
1.51468776130656368E-8	1.83167176643097740E-2
1.52038342782993618E-8	1.81566225269717485E-2
1.52663342782993650E-8	1.49124881956232103E-2
1.53288342782993681E-8	8.95964429250062899E-3
1.53913342782993690E-8	1.20775455882679661E-3
1.54538342782993698E-8	-7.17635080798478686E-3
1.55163342782993685E-8	-1.49446482647895862E-2
1.55788342782993761E-8	-2.09506834543685194E-2
1.56413342782993725E-8	-2.43001427784243340E-2
1.57038342782993778E-8	-2.44695386713658536E-2
1.57663342782993765E-8	-2.14028651939020431E-2
1.58288342782993752E-8	-1.55402229282733995E-2
1.58913342782993805E-8	-7.75484838753831518E-3
1.59538342782993814E-8	7.73517261592392291E-4
1.60163342782993801E-8	8.73846116655489880E-3
