time	Tran2.TRAN.Vc
1.00344000000002209E-6	4.77594785182289350E0
1.00345000000002216E-6	4.75357855226704906E0
1.00346000000002222E-6	4.74366799847920717E0
1.00347000000002229E-6	4.74624483069597414E0
1.00348000000002213E-6	4.76129605489418495E0
1.00349000000002242E-6	4.78876735343438309E0
1.00350000000002249E-6	4.82856321281050782E0
1.00351000000002255E-6	4.88054685937769506E0
1.00352000000002239E-6	4.94454002469817411E0
1.00353000000002268E-6	5.02032259260015046E0
1.00354000000002297E-6	5.10763220533553497E0
1.00355000000002281E-6	5.20616392278389473E0
1.00356000000002288E-6	5.31557003332999400E0
1.00357000000002294E-6	5.43546010744939334E0
1.00358000000002301E-6	5.56540136611326108E0
1.00359000000002307E-6	5.70491940965140110E0
1.00360000000002270E-6	5.85349932296575215E0
1.00361000000002321E-6	6.01058714546154427E0
1.00362000000002305E-6	6.17559167272179188E0
1.00363000000002334E-6	6.34788654501367322E0
1.00364000000002340E-6	6.52681257544403870E0
1.00365000000002347E-6	6.71168027694626446E0
1.00366000000002353E-6	6.90177255873551410E0
1.00367000000002338E-6	7.09634757587881104E0
1.00368000000002344E-6	7.29464172596095395E0
1.00369000000002373E-6	7.49587279215076308E0
1.00370000000002380E-6	7.69924323073509864E0
1.00371000000002386E-6	7.90394359448380079E0
1.00372000000002393E-6	8.10915607277154926E0
1.00373000000002377E-6	8.31405811864732769E0
1.00374000000002406E-6	8.51782612460654498E0
1.00375000000002390E-6	8.71963910536493714E0
1.00376000000002419E-6	8.91868234796311121E0
1.00377000000002403E-6	9.11415099688603192E0
1.00378000000002432E-6	9.30525355225535478E0
1.00379000000002438E-6	9.49121527031293333E0
1.00380000000002423E-6	9.67128146424072455E0
1.00381000000002452E-6	9.84472070823474432E0
1.00382000000002458E-6	1.00108279473722961E1
1.00383000000002465E-6	1.01689275110867827E1
1.00384000000002449E-6	1.03183760202385244E1
1.00385000000002478E-6	1.04585651696362980E1
1.00386000000002484E-6	1.05889243614341400E1
1.00387000000002469E-6	1.07089231623670833E1
1.00388000000002497E-6	1.08180735596761735E1
1.00389000000002504E-6	1.09159319968009316E1
1.00390000000002488E-6	1.10021011785832790E1
1.00391000000002517E-6	1.10762316451330944E1
1.00392000000002501E-6	1.11380231210783687E1
1.00393000000002530E-6	1.11872256514455271E1
1.00394000000002537E-6	1.12236405357681934E1
1.00395000000002543E-6	1.12471210689826218E1
1.00396000000002572E-6	1.12575730920889749E1
1.00397000000002556E-6	1.12549553496464272E1
1.00398000000002563E-6	1.12392796463131828E1
1.00399000000002547E-6	1.12106107925909981E1
1.00400000000000000E-6	1.11690663309346805E1


